ID;CO_IES;CO_CURSO;CO_MUNIC_CURSO;CO_UF_CURSO;NU_IDADE;NT_GER;NT_CE;NT_OBJ_FG;NT_OBJ_CE;DS_VT_ESC_OFG;DS_VT_ESC_OCE;DS_VT_ACE_OFG;DS_VT_ACE_OCE;TP_PR_GER;CURSO;REGIAO;TURNO;CATEGORIA_IES;MODALIDADE;SEXO;ESTADO_CIVIL;RACA;MORADIA;FAMILIARES;RENDA;TRABALHO;FAIXA_ETARIA
14;14;1261;4318705;43;33;40.1;34.8;50;40.9;CCABDECE;CCCDEDADBBCADEEDDEAAEBEECCA;11010100;9,90018E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Cônjuge e/ou filhos;Um;6 a 10 S.M;40h ou +;Acima de 30 Anos
15;14;1261;4318705;43;28;72.8;70.5;75;72.7;CABBEEAD;CDACECEDBCBEBDDACAAAECCDCCC;10110111;9,91118E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Um;6 a 10 S.M;40h ou +;Entre 25 e 30 Anos
16;14;1261;4318705;43;22;54.5;54.6;50;54.5;CCEACEBE;EDCCBDADBCECBEDEAEADEBBDCCB;11001100;9,90108E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Um;10 a 30 S.M;40h ou +;Até 24 Anos
17;14;1261;4318705;43;22;44.6;40.3;50;40.9;EBBBCECC;EBACDEADCABCBEEDBEABEBCDBBB;111100;9,91108E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Dois;10 a 30 S.M;40h ou +;Até 24 Anos
18;14;1261;4318705;43;21;68.1;74;62.5;77.3;AEBBCEAE;EDACEDADBCEEDDDCDEAEECBACCC;111110;9,91118E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Três;10 a 30 S.M;40h ou +;Até 24 Anos
19;14;1261;4318705;43;29;44.9;43.7;62.5;45.5;DCBBBEAC;CECEBDDDBABEBEDCEEACEEBBCBB;1110110;9,90008E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Três;10 a 30 S.M;40h ou +;Entre 25 e 30 Anos
20;14;1261;4318705;43;37;23.9;19.3;62.5;22.7;DCBBEEDD;DDAEADABCCEDEEBDBDDEEBECCCD;1110101;9,91008E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Dois;10 a 30 S.M;40h ou +;Acima de 30 Anos
21;14;1261;4318705;43;22;73.6;70;100;72.7;CCBBCEAD;ECADBEADBCBEBDDBDBAEEEBECCC;11111111;9,91008E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Um;1,5 a 3 S.M;Até 20 hs;Até 24 Anos
22;14;1261;4318705;43;40;41.1;34.8;100;40.9;CCBBCEAD;ADECEDCDBBBCEEEADDECDCBECBD;11111111;9,90118E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Cônjuge e/ou filhos;Um;10 a 30 S.M;40h ou +;Acima de 30 Anos
23;14;1261;4318705;43;42;29.4;23.5;50;22.7;CACACEED;CBDBDDCCBAEEDBECDAEDEBBBACC;10001101;9,90008E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Um;Até 1,5 S.M;Desempregado;Acima de 30 Anos
24;14;1261;4318705;43;32;45.9;44.8;75;40.9;CCABEEAD;EECCEDABBBABEEBBDAEBACDCCCB;11010111;9,90118E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Cônjuge e/ou filhos;Um;6 a 10 S.M;40h ou +;Acima de 30 Anos
25;14;1261;4318705;43;21;62.3;65.7;50;68.2;DCABCEDE;DDABBDADBBEEBDDAEEAEEBDBCCC;1011100;9,91008E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Três;Acima de 30 S.M;40h ou +;Até 24 Anos
26;14;1261;4318705;43;24;40.9;38.5;62.5;40.9;CCEBCEBE;EDDDBDADBEBCDDEABCEBCCBBCBC;11011100;9,90008E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Dois;10 a 30 S.M;40h ou +;Até 24 Anos
27;14;1261;4318705;43;35;28;23.2;50;27.3;ECDBCEBB;ECCDBBCEBBCDCEBBCDBECCABCBD;1011100;9,90008E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Cônjuge e/ou filhos;Dois;4,5 a 6 S.M;40h ou +;Acima de 30 Anos
28;14;1261;4318705;43;26;51.8;54.1;37.5;63.6;CACECEDE;EBECEDADBBBBEEDADCAEACBECCB;10001100;9,90118E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Feminino;Solteiro;Branca;Outras pessoas;Nenhum;3 a 4,5 S.M;40h ou +;Entre 25 e 30 Anos
29;14;1261;4318705;43;38;41.9;38.7;75;45.5;BCBBCEAE;ADECEDCDBBB.DDAAD.AADCB....;1111110;9,90118E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Feminino;Solteiro;ND;Cônjuge e/ou filhos;Um;Até 1,5 S.M;Eventualmente;Acima de 30 Anos
30;14;1261;4318705;43;27;50.8;43.3;75;40.9;CABBCEAB;E.DCBBCADABDCEDBBDBEBCCBCCC;10111110;9,90108E+26;555;Sistemas de Informação;Sul;Noturno;Privada s/ Fins Lucrativos;Presencial;Masculino;Solteiro;Indigena;Pais e/ou parentes;Dois;6 a 10 S.M;21 a 39 hs;Entre 25 e 30 Anos
31;56;3193;3506003;35;36;52.6;45.7;75;45.5;ECBBCEAE;CAECEDADDBCEDEEDEEADABEECEC;1111110;9,90118E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Feminino;Solteiro;Branca;Pais e/ou parentes;Três;1,5 a 3 S.M;Desempregado;Acima de 30 Anos
32;56;3193;3506003;35;22;58.7;51.6;87.5;54.5;CDBBCEAD;DBBCEDBDBAAECAEBACAEBCBECCD;10111111;9,90118E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Preta;Outras pessoas;Nenhum;1,5 a 3 S.M;Desempregado;Até 24 Anos
33;56;3193;3506003;35;23;70.3;71;62.5;81.8;DEBBCEDD;ACACEEADBBBCDEDBDEAEDCBACCC;111101;9,91118E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Feminino;Solteiro;Branca;Outras pessoas;Nenhum;1,5 a 3 S.M;21 a 39 hs;Até 24 Anos
34;56;3193;3506003;35;25;77.7;82.4;75;86.4;ACABCEAD;BDCCEEADBBBEBDDBCEAEEBCDCCC;1011111;9,90118E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Um;4,5 a 6 S.M;Eventualmente;Entre 25 e 30 Anos
35;56;3193;3506003;35;25;45.4;39.2;62.5;36.4;CDBBDEDD;EAEDCDADBCCDBDCBDACAECEBDEC;10110101;9,90008E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Dois;Acima de 30 S.M;40h ou +;Entre 25 e 30 Anos
36;56;3193;3506003;35;27;50.4;47.2;100;45.5;CCBBCEAD;EABCEDCDBABEEEBCBACDACDDCDC;11111111;9,90118E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Amarela;Pais e/ou parentes;Um;6 a 10 S.M;40h ou +;Entre 25 e 30 Anos
37;56;3193;3506003;35;22;56.5;56.2;50;59.1;AABBCEBC;EBAAEDCDBDBEBBBCDEAEDEEACCC;111100;9,91018E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Indigena;Pais e/ou parentes;Quatro;4,5 a 6 S.M;Desempregado;Até 24 Anos
38;56;3193;3506003;35;26;50;54.1;62.5;63.6;BABBCEDD;ADACEEADBBBEEDEECEDDEACCCCC;111101;9,91118E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Amarela;Pais e/ou parentes;Três;4,5 a 6 S.M;40h ou +;Entre 25 e 30 Anos
39;56;3193;3506003;35;22;62;65.7;37.5;68.2;EACBEEDD;DBACCDADEBCEDDEBCAAEDCBBCCC;10101;9,91108E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Branca;Alojamento universitário;Nenhum;Até 1,5 S.M;Desempregado;Até 24 Anos
40;56;3193;3506003;35;21;74;75.2;62.5;77.3;EDBBCEAB;EBACBDDDBBBEBEDBBAAEDCDDCCC;111110;9,91108E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Feminino;Solteiro;Indigena;Outras pessoas;Nenhum;1,5 a 3 S.M;Desempregado;Até 24 Anos
41;56;3193;3506003;35;21;55.5;53.3;62.5;54.5;DEABCEAD;EDACEDBDBCCBDECEAEEAECBDCCC;11111;9,91118E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Dois;1,5 a 3 S.M;Até 20 hs;Até 24 Anos
42;56;3193;3506003;35;22;52;51.5;62.5;50;BCBBCEDC;DAADEECDEACEDEDACEAEACCECBC;1111100;9,91018E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Preta;Pais e/ou parentes;Três;4,5 a 6 S.M;21 a 39 hs;Até 24 Anos
43;56;3193;3506003;35;22;50.1;41.7;87.5;45.5;ECBBCEAD;DDEEEDCDBABADDBECAAAECBBCCA;1111111;9,90018E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Indigena;Sozinho;Nenhum;Até 1,5 S.M;Desempregado;Até 24 Anos
44;56;3193;3506003;35;23;68.4;75.5;62.5;77.3;DBBBCECD;EDACBDAEBBBEDEDBDEAEDCEDCCC;111101;9,91108E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Um;3 a 4,5 S.M;40h ou +;Até 24 Anos
45;56;3193;3506003;35;20;50.8;54.1;25;54.5;BADBCBCB;ABCDEAAABABCCBDBDEACACDBCCC;11000;9,90018E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Indigena;Outras pessoas;Nenhum;1,5 a 3 S.M;40h ou +;Até 24 Anos
46;56;3193;3506003;35;24;47.1;45.2;37.5;45.5;DCADEEBD;EECCEEAEBBDCDDBABEAAECBCEAD;1000101;9,90118E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Dois;4,5 a 6 S.M;40h ou +;Até 24 Anos
47;56;3193;3506003;35;26;47.1;38.7;75;45.5;ACEBCEAD;DBECBDBDBCBEAEBCBEAAAEBBCBC;1011111;9,90108E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Feminino;Solteiro;Branca;Pais e/ou parentes;Um;1,5 a 3 S.M;Desempregado;Entre 25 e 30 Anos
48;56;3193;3506003;35;22;41.5;35.4;50;36.4;DCCBEEBD;DDECDDACBAAADEECBEADABDDCCB;1010101;9,90108E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Feminino;Solteiro;Indigena;Pais e/ou parentes;Dois;6 a 10 S.M;40h ou +;Até 24 Anos
49;56;3193;3506003;35;22;56.3;53.1;75;54.5;CDBBCEDD;CBDCDDCDBABEBDEAEDAEECDECDC;10111101;9,90108E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Branca;Sozinho;Nenhum;1,5 a 3 S.M;21 a 39 hs;Até 24 Anos
50;56;3193;3506003;35;23;59.7;56.6;62.5;54.5;BEABCEAD;EBEEDCCDBABEBEDEAEAAEEBDCBC;11111;9,90008E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Feminino;Solteiro;Branca;Sozinho;Nenhum;1,5 a 3 S.M;40h ou +;Até 24 Anos
51;56;3193;3506003;35;23;63.3;58;87.5;59.1;CCABCEAD;EBCCEDBDBBBECEDDDCAEDCDECBC;11011111;9,90118E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Indigena;Pais e/ou parentes;Quatro;6 a 10 S.M;40h ou +;Até 24 Anos
52;56;3193;3506003;35;24;65.2;66.8;75;72.7;ACBBCEDD;DDADBDADBBBEDDBADEADECBDCCC;1111101;9,91008E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Três;4,5 a 6 S.M;Desempregado;Até 24 Anos
53;56;3193;3506003;35;26;51.4;50.8;50;54.5;DEBACEAE;CBAABEADDACEDDDBCEADCBBECBC;101110;9,91008E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Dois;3 a 4,5 S.M;40h ou +;Entre 25 e 30 Anos
54;56;3193;3506003;35;26;66.1;63;75;68.2;ACCBCEAD;ABCDEEADBABEDDDBDCAEECDDCCD;1011111;9,90018E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Branca;Outras pessoas;Nenhum;1,5 a 3 S.M;21 a 39 hs;Entre 25 e 30 Anos
55;56;3193;3506003;35;25;75.3;75.5;75;77.3;ECDBCEAD;EDCCCDADBABEEDDBDDAEACBDCCC;1011111;9,90108E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Branca;Outras pessoas;Um;4,5 a 6 S.M;40h ou +;Entre 25 e 30 Anos
56;56;3193;3506003;35;22;67;63;87.5;68.2;CCABCEAD;EEACEDADEBBEDDBACECEDCBECBC;11011111;9,91118E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Feminino;Solteiro;Branca;Pais e/ou parentes;Quatro;Até 1,5 S.M;Desempregado;Até 24 Anos
57;56;3193;3506003;35;21;57;56.8;37.5;63.6;BEDBDEDD;EECCBECDBABCBEDBEEAEECDECCC;10101;9,90108E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Feminino;Solteiro;Amarela;Sozinho;Nenhum;1,5 a 3 S.M;Desempregado;Até 24 Anos
58;56;3193;3506003;35;23;56;52.8;50;54.5;DCABEEED;ADECBECDBBBEBEDEDEAEDEDCBAC;1010101;9,90108E+26;555;Sistemas de Informação;Sudeste;Noturno;Pública Estadual;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Dois;4,5 a 6 S.M;Desempregado;Até 24 Anos
59;163;4963;3303302;33;25;33.6;34.8;50;40.9;BBABCEDD;EACEEDACBABCBEDDCABAACBACBA;11101;9,90018E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Masculino;Solteiro;Amarela;Pais e/ou parentes;Três;6 a 10 S.M;40h ou +;Entre 25 e 30 Anos
60;163;4963;3303302;33;24;37.1;41.7;25;45.5;BDCBEEEE;EDACEEADBAEAEDCBBEEAEDEEEEC;10100;9,91118E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Masculino;Solteiro;Indigena;Pais e/ou parentes;Três;Até 1,5 S.M;21 a 39 hs;Até 24 Anos
61;163;4963;3303302;33;25;31.6;26.2;62.5;27.3;ECBBCEDE;CDEDADCBBBCDAEDDEAACBCBEABB;1111100;9,90008E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Masculino;Solteiro;Indigena;Pais e/ou parentes;Três;3 a 4,5 S.M;40h ou +;Entre 25 e 30 Anos
62;163;4963;3303302;33;29;45.3;42.8;50;50;DCABBBAD;ECBCEBADBCCDCDADBEADCCEEC*C;1010011;9,90118E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Masculino;Casado;Preta;Cônjuge e/ou filhos;Seis;3 a 4,5 S.M;40h ou +;Entre 25 e 30 Anos
63;163;4963;3303302;33;26;44.1;46.3;62.5;54.5;DABBCEBD;ECDCECADBABCABEBDAAEACDBCBC;111101;9,90118E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Masculino;Casado;Preta;Cônjuge e/ou filhos;Um;4,5 a 6 S.M;40h ou +;Entre 25 e 30 Anos
64;163;4963;3303302;33;26;26;24.5;25;27.3;DBDBDEBE;DECCEEAEBDDAEDCADACDEBDECBB;10100;9,90118E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Feminino;Solteiro;Branca;Sozinho;Nenhum;Até 1,5 S.M;40h ou +;Entre 25 e 30 Anos
65;163;4963;3303302;33;26;45.4;38.7;62.5;45.5;DEEBCEAD;EECCBEADBABCDEDBCACAECBECEB;11111;9,90108E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Masculino;Solteiro;Indigena;Pais e/ou parentes;Dois;3 a 4,5 S.M;40h ou +;Entre 25 e 30 Anos
66;163;4963;3303302;33;28;50.4;58;25;68.2;BCCEEBAE;CEBCEEADBBEEEDDBDEEADCBCCDC;1000010;9,90118E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Três;Até 1,5 S.M;40h ou +;Entre 25 e 30 Anos
67;163;4963;3303302;33;24;36.4;38.7;25;45.5;BACBEEBE;BBAEDDABEBDCDDBBDDEEECECCCC;10100;9,91008E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Três;3 a 4,5 S.M;Desempregado;Até 24 Anos
68;163;4963;3303302;33;25;25.1;22;37.5;22.7;BDBBEBBD;BDBECBABBCCBCDCDDDCCBBBCCBB;110001;9,90008E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Feminino;Casado;Indigena;Cônjuge e/ou filhos;Dois;3 a 4,5 S.M;Desempregado;Entre 25 e 30 Anos
69;163;4963;3303302;33;25;23;23.2;37.5;27.3;CEBDDACD;EECECBADBDBDDBEBECDBDBCEBDC;10100001;9,90008E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Cônjuge e/ou filhos;Dois;3 a 4,5 S.M;40h ou +;Entre 25 e 30 Anos
70;163;4963;3303302;33;25;39.7;42.5;12.5;50;BAABEABE;DDCCEBBDBABBDDCDBBDEDCBECBC;10000;9,90118E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Feminino;Solteiro;Branca;Pais e/ou parentes;Três;3 a 4,5 S.M;21 a 39 hs;Entre 25 e 30 Anos
71;163;4963;3303302;33;32;24.6;15.5;75;18.2;BCCBCEAD;ACCEDDABECADBDAEAEBDABDAEDA;1011111;9,90008E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Um;1,5 a 3 S.M;40h ou +;Acima de 30 Anos
72;163;4963;3303302;33;24;48.7;50.2;37.5;59.1;EDABCEBE;DBCCCDADBDBEEEDACEDEECCDCEC;11100;9,90108E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Dois;Até 1,5 S.M;Desempregado;Até 24 Anos
73;163;4963;3303302;33;26;46.2;43.5;37.5;50;BEDBDEBD;EDCCBEADEDCADEDBEECEACBCCBC;10101;9,90108E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Dois;4,5 a 6 S.M;Desempregado;Entre 25 e 30 Anos
74;163;4963;3303302;33;27;46.2;41.9;62.5;45.5;BCABCECD;DBDCBDCBBAEEEEDAADAEDCBDCEB;1011101;9,90108E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Masculino;Casado;Preta;Cônjuge e/ou filhos;Dois;1,5 a 3 S.M;40h ou +;Entre 25 e 30 Anos
75;163;4963;3303302;33;27;40.5;38.7;50;45.5;DCBECBAE;ABDDECADBBBDDEDACAABDCDBCBB;1101010;9,90018E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Masculino;Solteiro;Indigena;Pais e/ou parentes;Três;Até 1,5 S.M;40h ou +;Entre 25 e 30 Anos
76;163;4963;3303302;33;32;33.9;37;37.5;40.9;DCEACDED;BDECEEADBABAADACCECEEBECEBB;1001001;9,90118E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Masculino;Solteiro;Indigena;Pais e/ou parentes;Dois;Até 1,5 S.M;Eventualmente;Acima de 30 Anos
77;163;4963;3303302;33;28;46.4;43;37.5;50;DEABCECE;EDECCEADBEEDEDDCCEEBBCBECBC;11100;9,90108E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Masculino;Casado;Branca;Cônjuge e/ou filhos;Um;3 a 4,5 S.M;40h ou +;Entre 25 e 30 Anos
78;163;4963;3303302;33;27;28.7;23.2;75;27.3;CECBCEAD;EBECDDBCADBEADBCEBACDEBCA*D;10011111;9,90108E+26;555;Sistemas de Informação;Sudeste;Noturno;Privada c/ Fins Lucrativos;Presencial;Masculino;Solteiro;Branca;Pais e/ou parentes;Três;10 a 30 S.M;40h ou +;Entre 25 e 30 Anos
